feature	VK_170831_025	VK_170831_037	VK_170831_043	VK_170831_073	VK_170831_079	VK_170831_103	VK_170831_115	VK_170831_163	VK_170831_169	VK_170831_175	VK_170831_187	VK_170901_037	VK_170901_055	VK_170901_061	VK_170901_091	VK_170901_097	VK_170901_121	VK_170901_139	VK_170901_151	VK_170901_163	VK_170901_175
strain	daf16	daf16	daf16	daf16	N2	daf16	N2	daf16	N2	daf16	N2	N2	N2	N2	daf16	N2	daf16	daf16	N2	N2	N2
558.2973_43.2	1656807.0	      0.0	 725489.7	      0.0	  43444.3	 403478.9	 366586.3	      0.0	 562889.6	 114881.7	1024041.0	 111901.2	 642371.9	1922364.0	1051292.0	 568432.9	1331028.2	1261423.0	2297216.0	 737997.6	 657292.9
558.3528_33.9	 339030.2	 956705.6	2503288.0	 571441.9	  23891.4	  23891.4	2705173.0	  23891.4	  23891.4	 520495.9	 644635.3	1192659.0	 667300.0	   1075.2	1918595.0	1623986.0	 641522.7	2724284.0	1378329.0	5579577.0	   1075.2
558.7215_69.1	11956980.0	 7525037.0	12195620.0	  232128.5	 3423823.0	  232128.5	 7831047.0	  232128.5	 3924013.0	  232128.5	 7334466.0	 4383452.0	 6684629.0	 6482433.0	 5577385.0	  963938.7	 3799706.1	       0.0	 5491977.0	       0.0	 4301961.1
559.3005_43.2	      0.0	 491947.7	3789508.0	      0.0	 588312.4	      0.0	 175814.3	 189073.4	1115557.0	1355033.0	1921251.0	 154914.0	1513954.0	 300910.5	 336884.6	1084038.0	 740690.0	 394353.8	 989925.2	 579433.2	 244460.5
559.345_31.3	   3733.0	   3733.0	1218010.0	   3733.0	   3733.0	   3733.0	2123642.0	   3733.0	   3733.0	   3733.0	1615127.0	 437733.0	 588995.9	 340424.2	  12889.8	2046503.0	  12889.8	  12889.8	  12889.8	3082409.0	  12889.8
560.0414_290.4	 152352.6	  27047.6	 655061.8	 519994.4	  27047.6	  27047.6	 120900.3	 199141.8	  27047.6	 771269.5	  64469.6	 201182.0	 798435.8	      0.0	1087521.0	 468815.3	 204351.2	      0.0	1253433.0	1117795.0	      0.0
560.3119_43.9	      0.0	      0.0	      0.0	1618403.0	      0.0	      0.0	3285233.0	1308929.0	      0.0	  63482.2	 551266.3	1330061.0	 918253.0	 340026.1	1308990.0	1137489.0	 903822.8	1680188.0	1332409.0	4204096.0	 312721.1
560.7446_119.6	  18558.5	  18558.5	  18558.5	  18558.5	  21720.9	  18558.5	  18558.5	  18558.5	  18558.5	  18558.5	  18558.5	  18558.5	      0.0	      0.0	      0.0	      0.0	      0.0	      0.0	      0.0	3529100.0	      0.0
560.8661_58.3	       0.0	16827970.0	17358120.0	16269260.0	 3535748.0	 7320030.0	16336340.0	 6416475.0	 5886316.0	14742970.0	 3850655.0	       0.0	18873240.0	 2354684.0	14914200.0	 3492366.0	20948174.2	  505236.4	  505236.4	20503120.0	  505236.4
561.0023_112	 386023.2	1365820.0	3464469.0	2033630.0	  21862.2	  21862.2	2021882.0	2490143.0	  21862.2	3759377.0	3727350.0	1608926.0	2245400.0	   6438.6	3520993.0	2474574.0	 176659.5	2804152.0	1065853.0	4707490.0	   6438.6
561.0582_92.5	 426398.2	  15612.5	  15612.5	  15612.5	  15612.5	  15612.5	 103793.6	  15612.5	  15612.5	  15612.5	1366362.0	 159376.9	 890163.4	      0.0	      0.0	 503144.0	 220564.7	      0.0	 136513.5	1247085.0	 526268.5
561.9499_81.3	2131595.0	 104907.9	 693975.8	  22503.0	  22503.0	  22503.0	  22503.0	3470626.0	  22503.0	 649985.0	2420542.0	1292118.0	2269120.0	 372830.0	1402526.0	1117134.0	1236702.8	 835357.7	 968138.5	4727130.0	   6327.8
562.3587_27.3	   1098.9	   1098.9	 557603.7	   1098.9	   1098.9	   1098.9	 761331.7	   1098.9	   1098.9	   1098.9	 612112.3	1539173.0	   8342.3	   8342.3	   8342.3	 375980.6	   8342.3	 522504.7	 872086.3	2107335.0	   8342.3
562.6325_55.3	4016115.0	   5122.1	1768882.0	   5122.1	1669670.0	1819599.0	   5122.1	   5122.1	   5122.1	   5122.1	   5122.1	2418232.0	  29804.5	  29804.5	3501652.0	  29804.5	  29804.5	  29804.5	  29804.5	  29804.5	2868616.3
563.8628_70.5	 890668.1	1409144.0	1407448.0	 735824.5	  17992.2	  17992.2	 317660.1	1416729.0	  17992.2	4018118.0	 541766.0	  17992.2	 832081.4	      0.0	1580071.0	1170000.0	 843854.3	 534822.1	 818936.0	3140246.0	      0.0
564.3055_35.4	3848177.0	7562368.0	5237170.0	6772848.0	  45072.7	 313173.5	1941665.0	4785706.0	 404669.1	7733822.0	4418420.0	7889230.0	3437550.0	 919647.2	7857583.0	1778854.0	5034302.2	5497537.0	7745966.0	5387025.0	 952947.6
564.8126_61.6	13038970	16648120	17228510	14754150	 8594747	10781150	10919560	15591130	       0	10845690	15851480	       0	13185440	  908805	  908805	16711250	  908805	15003170	13941690	  908805	15018899
564.9714_66.3	   1435.2	   1435.2	   1435.2	   1435.2	   1435.2	1092964.0	 163446.1	   1435.2	   1435.2	   1435.2	   1435.2	   1435.2	  38974.2	  38974.2	  38974.2	  38974.2	3082085.9	  38974.2	  38974.2	  38974.2	  38974.2
565.0031_61.8	2996280.0	7161293.0	 107123.4	 107123.4	1411406.0	2363280.0	 192943.9	1345822.0	1460268.0	 107123.4	 107123.4	2160193.0	1600417.0	 770855.4	      0.0	1813003.0	1941551.3	      0.0	 585207.2	2046734.0	 793335.4
565.4104_26.3	1308354.0	 158015.0	2545980.0	 158015.0	 776357.8	 594815.6	 158015.0	 781320.7	 205386.9	 158015.0	 913087.0	2696603.0	      0.0	1090536.0	 773737.9	 469263.0	 743181.7	1621007.0	1691875.0	1831644.0	1888939.8
565.4293_27	1768541.0	1075513.0	 835564.7	 706110.9	1971266.0	1098828.0	 723801.8	1011134.0	 901440.5	1163650.0	 486395.1	 544495.1	 906004.5	 464735.7	 703421.3	 486886.3	      0.0	1504931.0	1146829.0	1580771.0	 149561.0
566.3196_37	1298470.0	1141607.0	 711394.4	 908748.0	      0.0	 348369.1	 809152.0	 544745.1	      0.0	1034317.0	 771709.7	2855139.0	 887046.6	 373606.0	2163197.0	 977437.1	1223722.4	1561953.0	2639328.0	2399656.0	 363064.0
566.7558_60.1	1566240.0	2856858.0	5385548.0	 174401.6	1112379.0	 718947.9	 571620.0	1186254.0	1184615.0	 865625.5	2034310.0	2807386.0	2399311.0	3124333.0	      0.0	2257395.0	4542605.8	 276988.8	3647798.0	      0.0	1872544.2
567.0266_108.6	 983346.2	 779246.0	 800054.0	1312721.0	  18830.9	 290959.6	1223772.0	 668105.9	  18830.9	 691582.4	1048278.0	 381235.9	 954465.5	 278423.5	 667952.3	 602352.3	 460186.9	 650032.0	 481128.3	1154187.0	      0.0
568.3379_36.6	 183425.8	 405733.0	  22674.6	  22674.6	  22674.6	  22674.6	  22674.6	  22674.6	  22674.6	  22674.6	  22674.6	 947450.0	1378036.0	 211856.9	 786501.0	 671205.1	 997430.0	1011186.0	1434322.0	1268899.0	 136181.3
568.4752_50.4	3273768.0	 114218.4	 114218.4	 114218.4	3492637.0	 114218.4	 114218.4	2458149.0	4486643.0	 114218.4	3819614.0	2879772.0	3681559.0	2607078.0	2697802.0	      0.0	3156914.4	4722210.0	      0.0	      0.0	      0.0
568.8018_79.6	  72086.6	  72086.6	 866480.0	5006434.0	  72086.6	  72086.6	3188513.0	  72086.6	  72086.6	 973968.0	 900454.6	1364074.0	1367298.0	 893918.4	      0.0	      0.0	      0.0	1702238.0	 972320.9	1228293.0	      0.0
568.933_79.2	 7721735.0	  672913.6	   32536.3	 9494432.0	   32536.3	   32536.3	 9519993.0	11768050.0	   32536.3	 7540290.0	 7521889.0	 4475735.0	  949296.4	   73340.2	11157420.0	 3617028.0	 5232836.8	   10786.9	  965756.6	 2472459.0	   10786.9
569.2305_27.1	 813363.0	 467599.8	1346728.0	 341286.8	1535763.0	 972757.3	 303454.5	1046832.0	2120098.0	1685310.0	1793775.0	 731550.0	 412165.8	 591875.2	1339270.0	1221886.0	3032028.4	1256923.0	 885041.2	 337227.9	1943948.6
569.3428_35.7	2256171.0	      0.0	      0.0	      0.0	      0.0	      0.0	3331348.0	      0.0	      0.0	      0.0	      0.0	  65492.0	 107768.8	 107768.8	 196782.7	 107768.8	 107768.8	 107768.8	 206927.1	 107768.8	 107768.8
569.9321_98.6	 727007.3	 676627.0	  15424.8	1513086.0	  15424.8	  15424.8	 774723.8	 530433.7	  15424.8	1979830.0	1073930.0	  15424.8	1569298.0	      0.0	1025657.0	 599883.5	 565282.6	      0.0	      0.0	1232762.0	      0.0
570.2189_100.1	790166.6	  7425.0	  7425.0	  7425.0	  7425.0	  7425.0	  7425.0	217399.3	  7425.0	290524.5	166918.5	  7425.0	633542.4	     0.0	363493.8	 83026.0	247224.2	     0.0	 28191.9	211777.8	     0.0
570.2352_27.9	 14730.3	 14730.3	296920.2	 14730.3	149918.3	 14730.3	 14730.3	 14730.3	310517.9	545859.2	 14730.3	 14730.3	     0.0	     0.0	     0.0	775725.1	126953.2	544679.1	322696.8	767397.2	564172.2
570.6404_55.6	 7381166	11746920	 4327377	 8152012	13924440	 5826666	12467650	 5591356	 6486233	 5596112	 6555236	 8395757	16632360	 7875950	 2138409	10998280	 3538896	 9171740	17475860	 6676768	11891026
570.8094_46.8	1020571.0	  54953.6	  54953.6	  54953.6	  54953.6	  54953.6	  54953.6	  54953.6	  54953.6	  54953.6	  54953.6	2815734.0	 442827.1	1739424.0	 510031.8	      0.0	 707107.5	2370722.0	 385661.6	 368705.7	 291457.2
570.8479_59.2	4173852.0	3723748.0	6313140.0	5046284.0	2415864.0	 521048.1	4841434.0	 743810.6	3807352.0	4237645.0	3925389.0	4198322.0	2565328.0	3528081.0	 551515.8	5414312.0	5647575.8	3341527.0	1526943.0	      0.0	 275000.1
571.4614_26.4	 439437.1	 217005.4	1450437.0	 384063.9	 727935.4	 203543.6	 185797.7	 341655.4	1022240.0	 273623.1	1287642.0	 264382.7	1680444.0	 635558.9	 269186.1	 582111.1	 963842.5	 348320.7	 237941.1	      0.0	 293983.7
572.1826_116.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	  36755.2	      0.0	      0.0	      0.0	      0.0	      0.0	 765540.8	9221120.0	      0.0	      0.0
572.3681_30.5	 969493.1	  15006.3	1392426.0	7459155.0	  15006.3	  15006.3	2071195.0	5535874.0	 517782.0	  15006.3	 881512.6	 584159.6	 665708.0	 345519.0	  13430.5	2371915.0	  13430.5	1218001.0	 842344.5	7076070.0	 296984.9
573.4519_25.5	      0.0	      0.0	      0.0	      0.0	5876926.0	      0.0	      0.0	      0.0	1016118.0	      0.0	      0.0	      0.0	  60387.6	  60387.6	  60387.6	  60387.6	  60387.6	  60387.6	  60387.6	  60387.6	  60387.6
574.3454_29.9	  84048.8	  84048.8	 736435.2	 221075.1	  84048.8	  84048.8	1726977.0	  84048.8	 295471.2	  84048.8	 678310.6	1191421.0	      0.0	 131180.3	4974261.0	1623351.0	      0.0	 749768.6	 532980.1	5772102.0	      0.0
574.876_65.7	15179000	 3604693	 6307632	       0	 7267133	 9446520	 5835717	20080050	13885100	 7430954	17148880	15873120	16577370	14616270	 9717486	 5009647	 6171240	 5580835	16142070	16615940	10488491
575.3767_53	1575077.0	1930550.0	 979022.3	4788735.0	1319245.0	 372543.7	  61201.0	1128663.0	  61201.0	  61201.0	1293856.0	1063021.0	 151027.7	 822644.2	2550991.0	 861865.7	 640677.9	  54103.5	1541969.0	 159678.6	2534892.1
