"","FC","log2(FC)","raw.pval","-log10(p)"
"228.1708_96.1",0.42049,-1.2498,0.016516,1.7821
"142.0489_133.6",2.2036,1.1399,0.016551,1.7812
"339.1931_285",3.0108,1.5902,0.016656,1.7784
"423.2578_28.9",0.42656,-1.2292,0.016734,1.7764
"322.1763_34.9",0.31108,-1.6846,0.016743,1.7762
"201.6447_277.6",0.37725,-1.4064,0.016845,1.7735
"563.8628_70.5",2.9308,1.5513,0.016873,1.7728
"109.5786_105.1",0.49712,-1.0083,0.017066,1.7679
"463.2914_28.1",0.43646,-1.1961,0.017086,1.7674
"195.129_292.6",0.37559,-1.4128,0.017358,1.7605
"149.9929_69.7",2.1026,1.0721,0.017381,1.7599
"289.195_26.9",0.36798,-1.4423,0.01764,1.7535
"801.5338_26.2",2.9976,1.5838,0.017752,1.7507
"124.9998_123.2",3.1251,1.6439,0.017894,1.7473
"405.8845_73",4.0596,2.0213,0.018009,1.7445
"380.9834_213.6",2.3548,1.2356,0.018148,1.7412
"200.076_139.1",2.1002,1.0705,0.018178,1.7405
"215.016_86.1",0.33393,-1.5824,0.018316,1.7372
"368.1946_28.3",0.329,-1.6038,0.018418,1.7348
"492.282_30.9",0.36432,-1.4567,0.018599,1.7305
"878.5397_81.1",2.1203,1.0842,0.01882,1.7254
"347.0523_45",5.2028,2.3793,0.018965,1.7221
"205.1295_110.2",3.0939,1.6294,0.019166,1.7175
"185.0768_131.5",2.9475,1.5595,0.019897,1.7012
"441.9245_73.7",0.17554,-2.5101,0.019927,1.7005
"190.1267_40.6",0.47654,-1.0693,0.020155,1.6956
"255.1315_33.6",0.49781,-1.0063,0.020241,1.6938
"167.9649_70",4.5336,2.1807,0.020395,1.6905
"539.0216_113.4",2.097,1.0683,0.02041,1.6902
"471.3543_27",0.221,-2.1779,0.020533,1.6875
"180.6214_286.5",0.3825,-1.3865,0.020575,1.6867
"168.0632_29.8",2.0729,1.0516,0.02068,1.6844
"250.913_45.4",2.8332,1.5024,0.020778,1.6824
"499.7343_288.5",3.3562,1.7468,0.020795,1.682
"153.1638_26.8",0.23869,-2.0668,0.020908,1.6797
"137.0751_42.4",3.6416,1.8646,0.021225,1.6732
"298.1158_41.8",0.3882,-1.3651,0.021236,1.6729
"347.2289_97.2",0.46315,-1.1105,0.021984,1.6579
"419.9259_80.3",2.8261,1.4988,0.022202,1.6536
"273.0955_106.2",3.9972,1.999,0.022937,1.6395
"206.0554_129.4",2.9677,1.5694,0.023065,1.637
"351.8902_64.8",3.3791,1.7566,0.023741,1.6245
"380.8344_47.1",0.2488,-2.007,0.023919,1.6213
"103.1232_34.4",4.2009,2.0707,0.024044,1.619
"689.89_98.5",5.8913,2.5586,0.024266,1.615
"423.9759_73",2.6159,1.3873,0.024496,1.6109
"214.9556_43.5",3.0682,1.6174,0.024664,1.6079
"374.2399_102",0.25321,-1.9816,0.024737,1.6067
"208.6526_277",0.41193,-1.2795,0.02512,1.6
"384.2384_27.5",3.0607,1.6139,0.025372,1.5956
"395.2925_26.4",0.4241,-1.2375,0.025404,1.5951
"659.9317_60.8",0.35852,-1.4799,0.025443,1.5944
"96.7264_102.9",0.038053,-4.7158,0.025502,1.5934
"145.1078_105.1",0.41779,-1.2592,0.025586,1.592
"487.2134_275",2.0823,1.0582,0.025635,1.5912
"354.2_29.8",0.49305,-1.0202,0.025661,1.5907
"360.0841_46.2",2.1489,1.1036,0.025769,1.5889
"137.0167_42",2.7095,1.438,0.025817,1.5881
"522.9698_109.3",2.2974,1.2,0.025841,1.5877
"378.069_110.5",2.389,1.2564,0.025918,1.5864
"341.3051_26.9",0.39941,-1.324,0.026135,1.5828
"271.0945_106.1",0.41134,-1.2816,0.026628,1.5747
"617.3575_65.4",0.27177,-1.8795,0.026787,1.5721
"937.0904_108",2.1836,1.1267,0.026803,1.5718
"802.5953_31.2",0.19228,-2.3787,0.026811,1.5717
"255.6553_65.6",0.092974,-3.427,0.027141,1.5664
"405.0194_97.2",2.6166,1.3877,0.027351,1.563
"272.2948_27",0.15011,-2.7359,0.027486,1.5609
"552.9119_75.9",0.35692,-1.4863,0.027698,1.5576
"233.6423_270.1",0.3572,-1.4852,0.027912,1.5542
"524.979_96.3",2.4174,1.2735,0.027973,1.5533
"264.0762_132.7",0.4843,-1.046,0.028079,1.5516
"143.9881_74.9",2.5542,1.3529,0.028701,1.5421
"242.0997_32.4",2.3387,1.2257,0.028748,1.5414
"321.9482_82.7",2.1887,1.1301,0.029206,1.5345
"313.2738_25.4",0.44445,-1.1699,0.029609,1.5286
"262.1478_40.2",0.4788,-1.0625,0.02961,1.5286
"147.121_47.8",2.1033,1.0727,0.029858,1.5249
"530.3553_30.3",0.15212,-2.7167,0.029952,1.5236
"319.2055_35.8",0.2966,-1.7534,0.030139,1.5209
"403.9521_83.5",2.4277,1.2796,0.030223,1.5197
"349.8922_70.5",2.1809,1.1249,0.030259,1.5191
"175.0714_76.4",2.4467,1.2909,0.030369,1.5176
"253.5129_133.5",3.1433,1.6523,0.030399,1.5171
"885.5488_40.5",0.17231,-2.5369,0.030422,1.5168
"416.9369_69.7",0.27355,-1.8701,0.030425,1.5168
"266.1584_31.2",0.33184,-1.5915,0.03072,1.5126
"417.2707_34.8",0.44356,-1.1728,0.030754,1.5121
"855.3134_65.2",0.19573,-2.353,0.03083,1.511
"134.0189_68.8",2.0886,1.0625,0.030969,1.5091
"828.7604_169.7",0.41241,-1.2778,0.031252,1.5051
"164.1168_68",6.1001,2.6088,0.031303,1.5044
"493.2657_34.1",0.44096,-1.1813,0.031781,1.4978
"358.303_26.6",0.48805,-1.0349,0.031895,1.4963
"388.2302_103.4",0.23892,-2.0654,0.032167,1.4926
"196.9835_42.2",2.4996,1.3217,0.032386,1.4896
"411.8926_71.6",2.4242,1.2775,0.032701,1.4854
"353.9553_69.5",2.2344,1.1599,0.03291,1.4827
"227.1026_40.2",12.058,3.5919,0.032953,1.4821
"194.1176_199.9",0.4394,-1.1864,0.032965,1.4819
"659.3902_27.6",0.33931,-1.5593,0.033019,1.4812
"921.8242_83.1",5.3323,2.4148,0.033209,1.4787
"389.9313_86.6",2.1118,1.0785,0.033357,1.4768
"657.4172_29.1",0.39932,-1.3244,0.033443,1.4757
"331.2843_26.6",0.42521,-1.2337,0.033672,1.4727
"158.0772_102",2.167,1.1157,0.03391,1.4697
"192.102_18.9",2.3406,1.2269,0.033987,1.4687
"960.7667_65.6",2.4724,1.3059,0.034057,1.4678
"902.98_59.6",0.20813,-2.2645,0.034124,1.4669
"342.3085_26.4",0.3988,-1.3263,0.034242,1.4654
"361.1503_80.9",0.098938,-3.3373,0.034255,1.4653
"210.0624_214.2",2.659,1.4109,0.034455,1.4627
"359.2579_32.5",0.35901,-1.4779,0.034616,1.4607
"604.4063_19.5",0.34017,-1.5557,0.034778,1.4587
"1001.6002_26.2",0.36986,-1.435,0.035157,1.454
"219.6393_277.1",0.34641,-1.5295,0.035439,1.4505
"430.2658_35.6",0.46908,-1.0921,0.035444,1.4505
"376.3421_27.3",0.46017,-1.1198,0.035645,1.448
"557.9452_27.6",0.30092,-1.7325,0.035883,1.4451
"168.0769_108",2.1715,1.1187,0.03612,1.4423
"487.8437_69.8",10.24,3.3562,0.036177,1.4416
"222.0292_125.6",2.8975,1.5348,0.036195,1.4413
"96.0637_103",2.619,1.389,0.036578,1.4368
"362.1274_71.3",3.0447,1.6063,0.036776,1.4344
"399.2599_32",4.6695,2.2233,0.037172,1.4298
"849.5228_33",0.44145,-1.1797,0.037357,1.4276
"360.2745_26.7",0.40967,-1.2875,0.03736,1.4276
"438.754_66.7",0.30603,-1.7083,0.037407,1.427
"319.9201_70.1",5.2633,2.396,0.037415,1.4269
"359.3154_27.3",0.46671,-1.0994,0.037788,1.4227
"331.1753_116.5",2.562,1.3573,0.03807,1.4194
