"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"373.8353_49.3","53841.1","685962.4","1337933","3543473","204970.6","53841.1","959503.5","24.6","24.6","719601.2","53841.1","1533338","53841.1","963311.4","53841.1","1400140","24.6","5002346","3104265","3302124","24.6"
"373.9114_244.9","91953940","107681700","91239430","155578700","260632000","272244800","319426500","32470840","228779683","290098100","220202800","180665900","145577400","193912200","306066000","284189200","294070700","255610000","150121800","96003330","135354461"
"373.9365_72.8","3671417","4458734","1591847","6075793","24.6","3785342","5839450","2889630","925709.1","112540.6","24.6","2941790","24.6","2013754","24.6","4203665","112540.6","769276.7","112540.6","6612399","112540.6"
"373.9781_98.8","2553976","2911040","24.6","1948736","24.6","1001035","1861193","1037719","520404","62431.7","24.6","281828.9","24.6","1185182","24.6","876154.3","62431.7","455855.2","480500.7","691186.9","62431.7"
"374.2288_35.2","1161622","224695.4","11994770","123341.6","1339257","275184.6","154109.6","24.6","889899","4602667","938958.3","25489100","2761569","5416516","9598222","2055139","2063972","9653148","4957017","25931670","817184.4"
"374.2399_102","35345.4","35345.4","6947130","35345.4","35345.4","35345.4","35345.4","24.6","24.6","1415640","35345.4","8922865","4424728","1417802","2372772","589170.3","24.6","2370887","2339058","8848851","24.6"
"374.2974_26.3","3206316","1075601","6778498","1331298","2130392","1286835","1114553","4145980","24.6","5377869","1059511","1799470","2364412","3602936","2922700","1951038","2405235","2251919","3528901","4089138","1986027"
"374.3266_23.7","1121491","164759.7","125617.4","140540.7","371119.6","5053619","622047.1","1080064","24.6","3167742","4350138","405674.9","461526","575846.6","3811356","242819.1","3123396","482421.4","4251933","806670.5","2079701.9"
"375.13_36.5","967386.1","1566644","1010390","1560068","7008.3","1097546","1706348","1663975","874889.9","24.6","7008.3","1116970","7008.3","596249.3","216687.3","789145.9","24.6","1038181","377639.7","24.6","24.6"
"375.2028_33","24.6","24.6","1728841","24.6","24.6","24.6","24.6","19394.1","19394.1","19394.1","24.6","2474255","24.6","946658.8","619454.6","262089.6","19394.1","1048044","19394.1","3363700","19394.1"
"375.2237_40.8","113225","113225","4641728","113225","701215.5","113225","113225","24.6","8160812.1","2928833","712281.4","7762197","567070.9","2603471","2384535","3019946","1344997","6401905","1759443","10900410","24.6"
"375.2352_94.6","1010120","582336.5","4677608","43711.1","1114537","43711.1","43711.1","626417.9","882750.8","2544086","1409087","6971275","1000939","1578888","1006053","695747","813248.5","2105597","649634.1","6543701","24.6"
"375.3105_26.5","2935042","1346760","3576137","1274147","2500871","3383262","2988106","3565777","1928272","2738986","3262680","1657076","3973862","4789937","3597554","2105016","4315174","3563559","4633539","2920226","3836942"
"375.3662_25.5","3850576","2250486","4445752","1923902","5371327","7934707","6174396","8866994","9670478","6466171","3811485","3418148","6356834","10303240","5789958","5325326","7505178","4583545","11264300","3613091","3485278"
"375.8326_49.7","24.6","24.6","1407766","24.6","24.6","24.6","24.6","107320.8","107320.8","107320.8","24.6","1854778","24.6","5398510","1386439","1815001","107320.8","1128879","1207131","7339516","107320.8"
"375.8952_70.1","1407614","2182403","6130600","2047570","42583.5","2186552","2870163","2153904","2312073.6","375671.6","42583.5","1176478","42583.5","1432348","42583.5","1365935","24.6","2456987","1083526","4193543","24.6"
"375.9354_48.3","3492474","2657898","5271945","7161940","5643897","5853956","4106069","6289480","3200289","8008455","1855021","5627120","2046351","6842824","8671614","7247665","4649747","8528347","7170261","8970462","2086819"
"376.2175_27","221987.5","287376.2","89488.4","320046.3","24.6","24.6","441451.9","69744.3","69744.3","338493.9","24.6","243637.4","24.6","24.6","141682.1","375484.6","69744.3","118702","69744.3","232431.3","69744.3"
