"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"638.2698_45","-1.08189073","-0.95602971"," 1.03262101","-0.90360912","-0.06415096","-0.86342295"," 0.89528435","-1.70780976","-1.61091560","-1.39469298"," 0.43205244"," 0.52865380"," 0.45034972"," 1.20983179"," 0.86225103"," 0.62370087"," 0.93717203","-0.04844315"," 1.55250957"," 0.53440988","-0.42787153"
"638.3108_25.4"," 0.19116163","-0.28925529"," 0.18240663","-0.28638548"," 0.25109980"," 0.18970584"," 0.07745434"," 0.04443043","-0.26640677"," 0.35747278"," 0.68525842","-0.27959935"," 0.77055280"," 0.33067251"," 0.29669555","-3.99296776"," 0.55707072"," 0.43965320"," 0.54613560","-0.72573884"," 0.92058325"
"638.337_26.6"," 0.55117800","-0.26799258","-0.53576176","-0.34313037","-0.09630595","-0.35117950","-0.08327564"," 0.32316646"," 0.61994011"," 0.22579275"," 0.45544393","-0.28709422"," 0.43428618","-0.36694441"," 0.64964210","-3.86591841"," 0.83437159"," 0.35467641"," 0.78836076","-0.09184201"," 1.05258654"
"638.4334_40.2","-1.3275864","-1.3275864"," 1.1687800","-1.3275864","-1.3044256","-1.3275864"," 1.1163059"," 0.3953078"," 0.4467175"," 0.4431721","-0.6404189","-1.3275864","-0.6283706"," 1.1093476"," 1.2619561"," 0.4178071"," 1.3617453"," 0.2395240"," 0.4030198"," 0.2167834"," 0.6306803"
"638.9801_65.3","-1.48843884"," 0.58938221","-0.62003470"," 0.17206808"," 1.53159199","-1.30673459","-0.17006676"," 0.35025029"," 0.58112165","-0.49708433"," 1.38908624"," 0.04909417"," 1.18580616","-0.39987748"," 0.12449838","-0.50443537"," 0.61392235","-0.79604309","-1.30913694","-1.42281882"," 1.92784941"
"639.3127_25.6","-0.468937879","-0.342737568"," 0.589618586","-0.722152949"," 0.233595407"," 0.148029871","-0.059885040"," 0.705672716","-1.154839192"," 0.279500068"," 0.994144678","-1.013490069"," 1.293006163"," 0.673010890","-0.007042228","-3.143841658"," 0.646586125"," 0.520777330"," 0.527483145","-0.789090281"," 1.090591884"
"639.339_26.4"," 0.84784709","-1.15875993","-1.88820231","-1.05237002","-0.63543217","-0.08599974","-1.31284131"," 1.18289518"," 0.52458448"," 0.12287603"," 0.59425689","-1.19091586"," 0.55773979","-0.03502882"," 1.24863114","-0.63778579"," 1.10904006"," 0.36386183"," 0.85689870","-0.95502530"," 1.54373006"
"639.9043_66.3"," 0.65788127"," 0.49786858","-0.29263487","-1.04220229","-0.52096463","-0.26317847","-1.14949616"," 0.77314315","-3.11317373"," 0.04548515"," 0.46998727"," 0.67505099"," 1.41379682"," 0.07620931"," 0.03248097"," 0.89379299"," 0.76056624","-0.64151126"," 0.43640638","-0.71790123"," 1.00839350"
"640.215_107.8"," 0.22440022"," 0.33224189"," 0.15005582"," 0.37645415"," 0.63440729"," 0.38224266"," 0.31217770"," 1.10631122","-0.76994499","-0.65682646"," 0.85787433"," 0.96238421"," 0.85118797","-0.06725554"," 0.32231262","-0.96476236"," 1.67592657","-2.04203999","-1.99329138","-1.54282956","-0.15102638"
"640.3139_25.5","-1.91568740","-0.14924681"," 0.65822675","-0.19931796"," 0.49048215"," 0.20273463"," 0.16111438"," 0.29429117","-3.52184392"," 0.05020942"," 0.78994593"," 0.09445381"," 0.86348360"," 0.35437180"," 0.06438939","-0.54098545"," 0.54488781"," 0.29366072"," 0.18884463"," 0.61642133"," 0.65956404"
