"","Fold Change","log2(FC)"
"347.0523_45",5.2028,2.3793
"802.5953_31.2",0.19228,-2.3787
"245.9494_74.4",0.19247,-2.3773
"376.3692_24.9",0.19248,-2.3773
"336.2247_26.1",0.1934,-2.3704
"202.9972_143.9",5.1697,2.3701
"741.5254_30.1",5.149,2.3643
"138.0526_62.1",5.142,2.3623
"153.041_48.2",5.1379,2.3612
"310.173_29.9",0.19472,-2.3606
"667.1087_87.6",5.1338,2.36
"855.3134_65.2",0.19573,-2.353
"976.4565_25.1",0.19577,-2.3528
"499.9451_97.9",5.1069,2.3524
"276.119_99.4",5.0999,2.3505
"338.2171_19.2",0.19609,-2.3504
"100.0869_105.5",5.0667,2.3411
"536.3416_30.2",0.19755,-2.3397
"181.0066_74.2",0.19815,-2.3353
"231.9936_45.2",0.19847,-2.333
"173.6079_127.1",0.19868,-2.3315
"270.0913_45.8",5.0067,2.3239
"218.0788_30.5",5.0039,2.323
"251.1733_94.5",0.20075,-2.3166
"331.1972_41.1",0.20096,-2.315
"526.3609_21",4.9396,2.3044
"203.1061_32.4",4.9373,2.3037
"329.9729_62.6",4.9251,2.3001
"400.5509_264",4.8917,2.2903
"396.1056_126.9",4.8902,2.2899
"338.2051_28.6",0.20513,-2.2854
"649.219_250.2",0.20516,-2.2852
"191.9824_63",4.8697,2.2838
"431.119_99.3",4.8675,2.2832
"363.1987_127.1",0.20576,-2.281
"322.1428_97.6",0.20594,-2.2797
"380.2523_28.8",0.20693,-2.2728
"171.0765_79.1",4.8195,2.2689
"902.98_59.6",0.20813,-2.2645
"223.9722_75.4",4.7368,2.2439
"352.2205_27.8",0.21139,-2.242
"362.211_29.9",0.21163,-2.2404
"408.2496_31.1",0.21217,-2.2367
"828.866_81.8",0.21259,-2.2338
"399.2599_32",4.6695,2.2233
"215.0484_32.8",0.21424,-2.2227
"353.2237_27.6",0.21442,-2.2215
"467.7899_84.3",4.6577,2.2196
"304.1809_125.4",0.21619,-2.2096
"1021.7107_38.2",4.623,2.2088
"154.0439_49.9",4.6214,2.2083
"817.8407_83",0.21675,-2.2059
"365.0627_184.7",0.21826,-2.1959
"474.2594_36.3",0.21854,-2.194
"609.9311_69.1",4.5704,2.1923
"508.156_39.6",4.5651,2.1906
"350.2062_31",0.21943,-2.1882
"377.9842_74.8",4.5558,2.1877
"651.9373_98.3",4.5503,2.186
"379.7049_80.4",4.5491,2.1856
"167.9649_70",4.5336,2.1807
"347.2365_33",0.22073,-2.1796
"437.2736_28.4",0.22092,-2.1784
"471.3543_27",0.221,-2.1779
"472.4009_37.9",0.22165,-2.1736
"150.0775_39.5",4.5058,2.1718
"346.7405_56.7",0.22214,-2.1705
"618.5943_55.4",0.22387,-2.1593
"363.2153_28.1",0.22418,-2.1572
"183.0308_133.3",4.46,2.157
"562.3587_27.3",0.22448,-2.1553
"277.1185_34.3",0.22543,-2.1492
"230.1501_103.9",0.22639,-2.1431
"465.1046_44.4",4.4058,2.1394
"231.0985_57.9",4.3906,2.1344
"620.3653_29",0.22785,-2.1339
"208.6343_95.1",0.22859,-2.1292
"441.5234_284.7",4.3543,2.1224
"551.9564_78.8",4.335,2.116
"268.9461_54.7",0.23111,-2.1134
"1227.809_28.9",0.23153,-2.1107
"176.1112_72.7",0.23156,-2.1105
"240.0493_98.5",4.3105,2.1078
"174.9891_32.7",4.3023,2.1051
"261.0303_95",4.3021,2.1051
"278.6001_290.6",0.23276,-2.1031
"222.6626_94.7",0.2329,-2.1022
"179.1282_273.3",0.23308,-2.1011
"412.165_29.7",4.2903,2.1011
"304.1867_42.1",0.23367,-2.0975
"432.7377_56.4",4.2795,2.0974
"330.6759_80.3",0.23377,-2.0968
"361.2447_94.4",0.2345,-2.0923
"228.9523_47.2",4.2569,2.0898
"252.9623_44.8",0.23524,-2.0878
"269.0996_19.7",0.23587,-2.0839
"499.8437_136.9",0.23597,-2.0833
"375.2028_33",0.23628,-2.0815
"110.0349_42.9",4.2289,2.0803
"925.3196_51.6",0.23697,-2.0772
"394.1971_40.4",0.23763,-2.0732
"290.1711_45.7",0.23779,-2.0722
"103.1232_34.4",4.2009,2.0707
"547.8879_69.9",4.1897,2.0669
"153.1638_26.8",0.23869,-2.0668
"388.2302_103.4",0.23892,-2.0654
"230.9505_44.9",4.1771,2.0625
"131.118_27.1",4.1709,2.0604
"914.9267_92.9",0.24031,-2.057
"407.8508_71.2",4.1496,2.053
"303.2028_98",0.24101,-2.0528
"848.0164_59.5",0.24217,-2.0459
"383.1246_70.9",0.24231,-2.0451
"352.1866_36.9",0.24241,-2.0445
"329.1496_34.3",0.24329,-2.0393
"206.1216_58.2",0.24341,-2.0385
"333.8968_70.4",4.1019,2.0363
"136.0142_43.5",4.0975,2.0347
"364.0607_179.7",0.24575,-2.0247
"257.1747_32.3",4.0688,2.0246
"591.0884_111.1",0.24581,-2.0244
"405.8845_73",4.0596,2.0213
"847.8872_98.5",4.0576,2.0206
"378.2392_31.5",0.247,-2.0174
"460.2846_34.4",0.24715,-2.0165
"345.1444_37.1",0.2472,-2.0163
"335.9144_66.5",4.0381,2.0137
"232.9889_47",0.24779,-2.0128
"588.377_28.7",0.24778,-2.0128
"306.902_47.9",0.248,-2.0116
