"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"111.0552_104.4",-0.018842,0.0013615,-0.021421,-0.0076273,0.017094,-0.013711,-0.0025918,0.0096712
"111.0683_106.4",-0.020757,0.014042,-0.022039,-0.0088918,0.023043,-0.022729,-0.0069181,0.024099
"111.0746_98",-0.033443,0.024806,-0.016728,-0.00066694,0.0094044,-0.017907,0.0045633,0.0092434
"111.5801_70.6",0.0082174,-0.014832,0.027419,-0.010259,-0.015222,-0.015511,-0.027914,-0.013458
"112.0128_136",-0.012972,0.01592,0.0014941,0.00057947,-0.0092425,0.007034,0.0037746,0.0023797
"112.028_39.2",-0.0073666,0.0045768,-0.018522,0.0039246,-0.0090592,0.017304,0.0010157,-0.0039838
"112.0412_183",-0.026065,0.030394,-0.02068,0.015978,-0.0087524,-0.0039573,0.0064374,0.0047734
"112.0505_153.9",-0.01164,0.015244,-0.034218,0.01518,0.0096666,-0.022895,-0.0056846,-0.0077314
"112.0505_292.7",-0.029838,0.010823,-0.0021764,0.027436,-0.016141,-0.025072,0.018279,-0.011531
"112.0869_106.1",-0.03101,0.023692,-0.020673,0.0096896,-0.008644,-0.011899,-0.00027844,0.019229
"112.1121_293.1",-0.024245,0.032373,-0.014382,0.0080027,0.018485,0.011413,-0.01189,-0.010291
"112.1121_138.9",-0.005096,0.0018573,-0.0083039,0.025617,0.0041175,0.010736,-0.022991,0.0069012
"112.5426_176",-0.018509,0.03138,-0.0068897,0.016233,0.0033539,-0.017135,0.0029934,0.0066774
"113.0346_37.5",-0.02831,-0.0012323,-0.030993,0.0035998,0.0097635,-0.0075635,-0.027376,0.02124
"113.0527_126.1",-0.013467,0.00064867,-0.0093821,-0.024729,0.0028519,0.011238,0.004988,0.037733
"113.0709_90.3",-0.0025005,0.0091199,0.0046455,-0.028205,0.0316,-0.016837,0.036348,-0.013085
"113.0902_106.1",-0.031528,0.019745,-0.015002,0.013511,-0.0079164,-0.0044779,-0.0016124,0.003119
"113.1154_130",-0.0065763,0.014719,0.01254,0.022617,0.024681,-0.0060452,0.0090024,-0.031884
"113.1154_293.1",-0.028271,0.031399,-0.015346,0.0070927,0.010496,0.0076092,-0.0095268,-0.0091779
"113.3901_110.4",-0.028142,0.0085609,-0.020986,0.0030187,0.0098567,-0.030361,0.014236,0.0091887
"113.4992_166.6",0.0051235,0.010427,0.0094291,0.028266,-0.035669,-0.0060351,0.024067,-0.0291
"113.5868_100.1",-0.02518,-0.040038,0.0043834,-0.01292,0.0050936,-0.0089075,0.014006,-0.010254
"114.0219_49.2",-0.0016242,-0.013968,0.0026118,0.013428,-0.02601,0.017654,0.018315,0.009671
"114.0605_109.5",0.0011815,0.010592,-0.020143,0.036246,-0.024257,-0.003795,0.011437,0.029184
"114.1026_97.6",-0.028867,0.0040306,-0.035005,0.0065126,-0.0058793,-0.00050002,0.010307,-0.0060478
"114.5946_93.4",0.016165,0.0013626,-0.016928,0.00066187,-0.029037,0.016722,0.0028125,0.00086489
"115.0156_287.9",0.019028,-0.018698,0.030528,-0.02714,0.013167,0.0049173,-0.0079261,0.0089232
"115.0168_34.7",-0.0063545,-0.024944,0.0095324,0.014405,-0.016138,0.0074032,-0.00075381,-0.019965
"115.0542_28.5",0.01438,-0.019787,0.029846,-0.023847,0.016973,0.013716,-0.0065481,-0.013924
"115.0866_116",-0.021057,0.012229,-0.025064,-0.016479,0.024883,-0.033744,0.0088869,0.0153
"115.1059_95.8",-0.024791,0.0025474,-0.018442,0.0007015,0.0022872,-0.03832,0.032196,-0.0065194
"115.5785_113.8",0.0014799,0.010928,-0.03053,-0.0044052,0.011318,-0.0098945,0.0034446,0.024338
"116.0342_95.7",-0.0062431,-0.0078218,0.025133,-0.0094651,-0.016535,0.0067535,-0.024657,-0.0083157
"116.0454_44.1",-0.027734,-0.0028717,0.0094576,-0.0067989,0.0047796,-0.012763,-0.013853,-0.016406
"116.0899_111.8",-0.011525,0.0015716,-0.0033916,-0.018195,0.030415,-0.022162,0.020781,-0.027869
"116.5738_103.5",0.0029737,0.0059526,-0.013328,0.019539,-0.012546,0.012918,0.0065294,-0.032795
"116.5887_61.8",0.0053863,0.0097145,0.015503,-0.00077028,-0.026546,0.019339,-0.0083834,0.0076314
"116.6113_64.5",0.0059139,-0.0018832,0.007193,0.0065647,0.033052,0.012157,0.0050503,-0.012636
"117.0561_39.2",0.0054718,0.01063,0.020559,-0.013132,0.008482,0.015439,0.032579,0.015337
"117.074_100.5",-0.019503,-0.018121,0.0031526,-0.026703,-0.012659,-0.01787,0.030444,-0.0084322
"117.576_120.3",0.026631,0.0043853,-0.01397,0.0022692,0.0076738,-0.043634,0.012651,-0.0064401
"118.0542_33.5",0.019001,-0.011036,0.00073901,-0.025401,0.004678,0.019563,0.035365,0.014965
"118.0629_61.8",-0.024696,0.021958,0.02498,-0.0088544,-0.00040559,0.010429,-0.010138,-0.022326
"118.0651_35.9",-0.019043,0.018489,-0.029179,-0.00082727,-0.007041,0.0028559,-0.00097861,0.0062137
"118.078_67.1",-0.01674,0.0040371,-0.0035286,-0.0024715,-0.0089521,0.021735,-0.022681,-0.0177
"118.0862_58.2",-0.036484,0.025233,0.0077721,-0.0095795,0.0043073,0.0078697,-0.01689,0.001297
"118.0943_60.8",-0.026929,0.029163,-0.0082087,-0.01214,0.023237,-0.0045261,-0.017309,-0.0018855
"118.0992_25",-0.010683,0.0024672,0.011789,-0.011409,-0.022245,0.0042329,-0.0041302,-0.04961
"118.1096_61.9",-0.03371,0.028349,0.0095656,-0.013205,-0.0073103,0.011832,-0.011861,-0.0040516
"118.9206_251.5",0.024263,-0.024103,0.025637,0.0029673,-0.0097087,-0.015175,0.010586,0.0050995
"119.0685_45.4",0.0057852,0.0046146,-0.0051492,0.034785,-0.0012904,-0.023748,0.011708,0.0034113
"119.0721_25.6",0.0070631,-0.0060027,-0.02484,0.028307,0.0096557,0.0044187,0.009121,-0.02074
"119.0833_60.8",-0.019612,0.018984,0.027193,-0.024386,0.0007813,-0.0055413,0.0047866,-0.010203
"119.0856_26.8",0.014265,-0.029383,0.028814,-0.02034,0.00093005,0.016651,-0.0070811,-0.014071
"119.0896_57.2",-0.031199,0.029598,0.009961,-0.012716,-0.010378,0.0021907,-0.015402,0.00066988
"119.0925_60.3",0.0031003,-0.010748,-0.0010129,0.0037148,-0.036046,0.028261,0.0014084,0.0078671
"120.0031_235.3",0.007054,-0.017487,0.033309,0.00034296,0.0014113,-0.015836,-0.0036865,0.0050588
"120.0113_213.5",-0.008714,0.022163,0.022491,0.0040136,-0.017041,0.005498,0.008025,0.024565
"120.0444_29",-0.031563,0.009354,-0.021475,-0.013553,-0.0090234,-0.0056169,-0.001616,0.015795
"120.0605_120.4",0.0056071,0.0079218,-0.017056,-0.010382,0.029913,-0.014661,-0.0083994,-0.020606
"120.0655_57.8",-0.033392,0.027484,-0.017306,-0.0052552,0.010689,-0.0055782,0.0033225,0.011386
"120.0728_51.1",0.00049073,-0.0017737,-0.013897,-0.0024332,-0.0094562,0.040725,0.041504,0.014651
"120.0808_42.5",-0.002671,0.020413,-0.043282,0.0017589,-0.00088435,0.0069878,-0.0096329,0.013061
"120.0896_42.5",-0.028437,0.023334,0.01403,-0.015133,0.00036163,0.014848,-0.023035,-0.0096862
"120.093_60.5",-0.015835,0.0071454,-0.0076796,0.013003,-0.010851,0.04994,-0.026064,-0.010172
"120.1019_37",-0.03655,-0.0028772,-0.0067217,-0.014319,0.0037423,0.0045618,-0.0090671,0.021018
"120.1047_44.6",-0.015397,0.020865,-0.030685,0.0024967,0.0071328,-0.013099,-0.001538,0.0219
"121.0477_29.3",-0.027951,0.0051926,-0.0019057,-0.0071505,-0.014439,-0.015846,0.021696,0.0018231
"121.0626_74.3",0.015167,0.0095657,0.0078399,-0.0053898,0.021892,-0.0054486,0.014358,-0.01252
"121.0648_32.6",-0.0045024,-0.025383,0.0033723,0.0097567,-0.013502,-0.0083208,0.0073961,0.0037478
"121.0689_76.8",-0.024369,0.014898,-0.023495,-0.015661,0.014248,-0.027564,0.0027708,0.021861
"121.0778_44.5",-0.0068644,0.015398,-0.015677,0.0054575,0.016032,-0.038573,0.00099574,0.01015
"121.0848_37.8",-0.013255,0.024092,-0.036808,0.0083055,-0.0096639,-0.0042422,-0.0043883,0.021998
"121.5209_193",-0.0089793,0.012852,0.0091287,0.019984,-0.021943,-0.0219,0.0063988,0.016153
"122.047_191.9",0.0071523,-0.023481,0.021441,0.01637,-0.00011156,-0.0035872,-0.007516,0.022294
"122.058_126.3",-0.003108,0.010646,-0.015296,0.0040361,0.0053632,-0.017738,-0.00093221,0.0017764
"122.0689_64.3",-0.0097666,-0.0065395,0.011215,-0.015527,0.015653,-0.027042,0.015315,0.011761
"122.0875_44.6",-0.00081629,0.013466,-0.0043229,0.027836,-0.023365,0.0074558,0.00081421,-0.0022075
"122.5222_193.1",-0.0034478,-0.018402,0.023295,0.031562,-0.016134,-0.019255,0.0084079,0.0019438
"122.5864_102.8",-0.023373,-0.01707,-0.010649,0.018891,-0.018165,0.0084216,0.014962,-0.030164
"123.0304_56.4",-0.010978,0.019976,-0.014447,-0.011096,0.008663,-0.020453,-0.00086507,0.020104
"123.5816_103.4",-0.0021921,0.0084281,-0.023109,0.010107,-0.024014,0.026341,-0.0050346,0.0090604
"123.5942_94.1",0.00097142,0.0067136,-0.015836,0.020108,-0.036364,0.036606,0.0031936,-0.0018246
"124.0144_34.4",-0.036168,0.014466,-0.019895,0.0071151,-0.011949,0.012098,-0.0080119,0.0051335
"124.0159_278.6",-0.025439,0.01697,-0.025228,-0.0096104,0.01328,-0.026022,0.002661,0.015469
"124.0393_32.3",-0.038034,0.019258,-0.016466,0.0023778,-0.0070187,0.004293,-0.0037164,0.0022687
"124.0645_34.3",-0.029487,0.0043682,-0.0047472,0.023561,-0.018182,0.0028435,0.015652,-0.030399
"124.5839_105.9",-0.018171,0.012132,-0.016332,0.016457,0.016097,-0.037116,0.010251,0.0014379
"124.5915_94.8",0.033582,0.0052334,-0.020126,0.023113,-0.0094627,-0.0037435,0.00090452,0.0099059
"124.9288_50.6",0.0075047,-0.011965,0.0052272,0.0058439,0.01627,0.014235,-0.0084084,-0.017174
"124.9711_61.7",-0.013765,0.0020218,0.0089877,-0.017153,-0.018189,0.052548,-0.015568,-0.022108
"124.9998_123.2",-0.031882,0.014888,-0.0088891,0.010457,-0.022287,0.034267,-0.011523,-0.008795
"124.9999_36.9",-0.0059199,0.0018678,-0.012213,-0.025957,0.0079654,-0.016672,-0.037543,0.016348
"125.0427_33.9",-0.038507,0.019492,-0.01754,0.0040397,-0.0069303,0.00171,-0.0018539,0.0044555
"125.9536_291.2",0.0043171,-0.043925,0.01761,0.0036629,0.017004,0.0093746,-0.017566,0.011595
"126.0436_34.7",-0.024984,0.013641,-0.016529,0.010114,-0.014064,0.035149,-0.024896,0.011389
"127.0289_134.3",-0.019795,0.0017941,-0.015541,0.0041894,-0.029061,0.038372,-0.033382,0.010238
